mturk_id,A,C,E,O,N
A3HOBJ4PJUOCUN,45,46,27,36,31
A166A2M31CW2C7,30,37,20,39,37
A166A2M31CW2C7,30,37,20,39,37
AURYD2FH3FUOQ,41,34,16,21,10
A1YSYI926BBOHW,27,45,22,39,12
A4ZPIPBDO624H,41,38,27,49,10
A3RLCGRXA34GC0,44,48,40,36,11
AVX3SWFMBEPMZ,45,44,23,38,20
A21SF3IKIZB0VN,43,44,26,35,32
A1MB3A5MC58LK6,34,42,31,41,20
A1FG4M4370KNFI,33,31,31,46,40
AL1RAAKVG9FJ2,33,37,23,32,21
A37QFZ8I1TGH2C,34,42,17,42,31
A1QB42OYEG1553,44,40,12,33,43
AHV4U78TUUDKI,23,46,41,40,27
A1KJV3S1EK7LUT,30,31,13,42,41
A248ARSA6FS20S,45,47,20,46,15
A3EJ44J2ZNRMDA,22,50,41,50,18
A2A52EATFDQJ1P,43,28,22,22,43
A3J9EHZQ9PERAX,31,40,27,30,36
A26GF078IX9A43,41,42,30,39,22
AK2C9AX5QJWUU,31,34,30,44,31
A2PXJTMWGUE5DC,42,44,28,39,30
A1STU8IA7S3WOK,40,35,21,39,25
AZJEGHE4605S5,44,45,40,37,18
AQAXDL1INQC9Q,38,48,30,50,26
A2SYRFPPV9WDEG,30,41,12,29,37
A18DUG8EA8Y766,35,46,38,38,15
AIJUY02ENAH9U,40,41,42,45,20
A34X76H88ZIZ21,33,50,16,45,45
A3P2LT53J1GUBG,30,46,17,26,33
A1ONILGBGJ8Y5K,42,33,42,47,13
A2S96ZZ70YFPSK,37,33,20,40,22
A39C1BN9ZSQ0R2,27,47,18,33,30
A1S88VQY8G8CNC,32,36,20,29,42
A1RWNYJA5X25YH,48,48,20,31,21
A2AVFNOKFHQ2ME,50,43,20,46,11
A3LFVI65XV1T46,37,43,18,32,30
A3HTLXAPOBCVVO,47,37,25,33,25
A2R0YYUAWNT7UD,25,35,21,22,30
A16HSMUJ7C7QA7,38,45,27,37,23
A2LV5432PV1S39,28,41,17,36,22
A3PYB8Z6FFWSOV,44,45,27,32,50
A70L26UXLTGLC,44,48,42,36,12
A20ALQT1HIVSAH,50,43,37,37,10
AF883TQ7OGVI8,43,45,40,42,16
A3760PCQD2MPIO,44,48,10,36,28
ASB8T0H7L99RF,24,12,15,14,47
A1HBIE5LRTQK1L,41,41,31,30,17
AKX5RHHO8BIUX,47,36,22,36,31
A2TDGWWPX6IMIZ,41,45,21,37,18
A1H162QMRV01SA,45,47,22,33,18
AJ74BNWTCX0MJ,48,32,27,29,25
A2WNW8A4MOR7T7,31,37,31,39,35
A2D4GSZPZB56HW,42,47,35,37,12
AVOF14300525D,33,37,10,22,43
A2VX8B1CJXRN2,25,46,11,29,47
A9J48W1C9IZAI,40,44,38,37,21
A1CFUMXK9QFT9M,33,42,15,39,32
A38DC3BG1ZCVZ2,17,15,16,14,48
A3G00Q5JV2BE5G,24,36,18,33,38
A22KRF782ELLB0,42,44,10,37,36
A3E8SXH0BAYG85,38,44,32,42,15
AAEZQL4J6CQGM,33,50,50,43,17
A27BUT19WQ6P1O,45,47,26,43,17
AQN3RS63MEPQA,43,44,41,38,12
A2K9FAOBT66F3U,47,40,28,47,32
A14PFRHG0A2YY9,40,40,35,39,22
A1GKEEI844CEKI,33,32,27,36,26
A2MWAXV1YRK5GH,50,50,50,49,10
ATHS9GUME1XCA,42,44,36,44,10
A1HUUSCZ4I5SOP,46,46,50,39,10
A3EJ44J2ZNRMDA,26,50,42,50,16
A1IZ4NX41GKU4X,36,50,50,42,15
A2P1VYBQ79Y92Q,44,48,41,45,15
AQAXDL1INQC9Q,36,48,32,47,26
A20ALQT1HIVSAH,50,41,31,37,10
AKX5RHHO8BIUX,43,36,23,36,31
A1EYJNJFSRMDWW,41,42,16,45,33
A175PJR0W3LO8I,40,44,17,28,27
A2LT6KC1X51FVW,13,25,18,36,40